This file was created using the 202002 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 prior return portfolios in Emerging_Markets.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  Prior return is from -12 to - 2.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199508  ,-2.43  ,-1.77  ,-0.28  ,-1.57  ,-3.00  ,-2.74
199509  ,-1.23  ,-0.68   ,0.55   ,0.83   ,0.19  ,-1.32
199510  ,-5.43  ,-1.68   ,0.49  ,-5.41  ,-3.82  ,-0.90
199511  ,-2.99  ,-0.49   ,3.20  ,-3.06  ,-0.36   ,0.27
199512   ,2.76   ,4.21   ,5.12   ,3.77   ,3.41   ,4.04
199601  ,11.50   ,9.09  ,10.24  ,10.68   ,8.38   ,7.10
199602  ,-0.33   ,1.32   ,1.75  ,-1.98  ,-2.89  ,-1.41
199603   ,0.48   ,3.42   ,5.06   ,2.49   ,0.43   ,0.83
199604   ,5.47   ,5.37   ,1.28   ,3.66   ,3.08   ,3.56
199605  ,-1.09  ,-3.44  ,-5.84  ,-2.37  ,-1.55   ,0.19
199606  ,-0.37   ,1.66   ,4.54   ,0.15   ,1.17   ,2.30
199607  ,-4.67  ,-3.75  ,-2.39  ,-6.52  ,-6.35  ,-4.13
199608  ,-0.81   ,3.52   ,6.98   ,1.91   ,4.28   ,2.08
199609   ,1.42   ,3.03   ,5.12   ,1.15   ,1.04   ,1.99
199610  ,-2.64  ,-0.97   ,3.62  ,-1.39  ,-2.10  ,-2.78
199611   ,0.18   ,1.18  ,-0.71   ,0.87   ,1.19   ,2.02
199612  ,-0.89  ,-0.71  ,-1.14   ,0.40   ,0.55   ,1.09
199701   ,6.10   ,7.43   ,8.50   ,7.47   ,5.46   ,8.27
199702   ,7.41   ,6.40   ,6.40   ,4.66   ,5.94   ,4.49
199703  ,-1.26   ,0.48   ,0.86  ,-2.89  ,-2.45  ,-1.67
199704  ,-4.29  ,-2.98  ,-3.55  ,-4.90  ,-0.54  ,-1.25
199705  ,-0.39   ,0.24   ,1.75  ,-0.07   ,4.10   ,4.30
199706   ,2.29   ,2.46   ,4.34   ,1.88   ,5.11   ,7.49
199707   ,1.51   ,1.07   ,0.96   ,0.96  ,-0.31   ,1.62
199708  ,-8.28  ,-9.46  ,-9.42 ,-12.30 ,-12.01 ,-11.47
199709   ,0.43  ,-0.55  ,-0.95   ,0.01   ,2.07   ,3.80
199710 ,-13.27 ,-13.19 ,-12.23 ,-15.64 ,-17.07 ,-16.34
199711 ,-12.96  ,-8.79  ,-4.50  ,-9.72  ,-4.42  ,-2.57
199712  ,-5.43  ,-4.27  ,-3.16  ,-1.25   ,0.36  ,-0.77
199801  ,-7.59  ,-5.71  ,-5.15  ,-6.07  ,-7.96  ,-4.30
199802  ,13.71  ,11.95   ,7.51  ,10.14   ,8.44  ,13.90
199803   ,5.47   ,4.92   ,4.69   ,5.08   ,4.44   ,2.16
199804  ,-1.99   ,0.99   ,2.10   ,4.68  ,-0.22  ,-1.51
199805  ,-7.34  ,-4.71  ,-3.99 ,-12.42 ,-11.92 ,-10.37
199806 ,-10.16  ,-8.98  ,-9.24 ,-12.78  ,-9.75 ,-11.26
199807   ,2.06  ,-0.10  ,-0.02   ,1.23   ,2.56   ,4.12
199808 ,-17.21 ,-19.10 ,-16.68 ,-24.59 ,-28.15 ,-24.86
199809   ,3.42   ,0.07  ,-1.01   ,6.83   ,5.09   ,2.91
199810   ,7.29   ,1.86   ,0.82  ,10.02   ,9.80   ,7.13
199811  ,15.95   ,5.95   ,2.10  ,10.38   ,7.67   ,2.82
199812  ,-0.06  ,-0.18  ,-1.25  ,-4.00  ,-0.69   ,1.78
199901  ,-1.68  ,-1.51  ,-4.13  ,-1.81  ,-1.40  ,-0.89
199902  ,-1.44  ,-0.19  ,-1.14  ,-0.15   ,0.96   ,0.40
199903   ,8.40   ,7.69   ,6.36  ,12.74  ,10.35   ,6.71
199904  ,13.61  ,11.91   ,9.08  ,13.38  ,12.47  ,14.46
199905   ,2.19   ,4.60   ,5.26  ,-0.17  ,-0.69   ,0.89
199906  ,11.15  ,11.73  ,14.90  ,11.03   ,9.16  ,12.50
199907  ,-2.68   ,1.41   ,8.10   ,2.14  ,-2.68  ,-1.93
199908   ,0.28   ,3.74  ,11.79   ,0.65   ,3.12   ,4.39
199909  ,-3.12  ,-6.24  ,-1.58  ,-1.85  ,-4.26  ,-2.33
199910  ,-0.95   ,4.10  ,11.14   ,0.11   ,3.56   ,5.04
199911   ,5.05   ,7.41  ,12.47   ,6.56  ,11.57   ,7.93
199912   ,7.35   ,5.40   ,1.32   ,7.44  ,12.69  ,15.37
200001  ,10.29   ,4.22   ,1.13  ,-1.82  ,-0.95   ,1.23
200002   ,0.66   ,2.52   ,2.04  ,-1.39  ,-0.42   ,7.47
200003   ,1.97   ,1.08  ,-2.84  ,-0.66   ,2.23  ,-0.26
200004  ,-8.06  ,-8.78 ,-15.57  ,-8.55 ,-10.42 ,-14.49
200005  ,-4.44  ,-0.12  ,-0.80  ,-0.35  ,-2.71  ,-3.23
200006  ,-0.34  ,-1.15   ,0.03  ,-1.12   ,2.14   ,5.96
200007  ,-1.79  ,-1.96  ,-3.97  ,-2.02  ,-2.98  ,-8.00
200008  ,-3.01  ,-1.01   ,0.43  ,-2.44   ,1.31   ,1.16
200009  ,-7.68  ,-6.36  ,-9.62  ,-9.17  ,-8.76  ,-9.62
200010 ,-11.76  ,-7.54  ,-9.65  ,-5.99  ,-8.59  ,-9.07
200011  ,-7.44  ,-6.85  ,-6.98 ,-11.22  ,-6.34  ,-9.09
200012  ,-1.32  ,-1.48  ,-2.81   ,2.30   ,1.93   ,2.46
200101  ,14.12   ,8.57   ,9.43  ,17.68  ,12.92   ,6.18
200102  ,-1.36   ,1.12  ,-1.96 ,-12.91  ,-7.35  ,-2.97
200103  ,-6.52  ,-3.73  ,-4.55 ,-12.53  ,-7.53  ,-8.15
200104   ,0.83   ,0.86   ,2.44   ,5.04   ,3.78   ,5.10
200105   ,0.29   ,1.08   ,1.91  ,-0.27   ,0.51   ,3.02
200106  ,-0.87   ,0.56   ,1.93  ,-3.44  ,-1.30  ,-0.76
200107  ,-5.60  ,-6.31  ,-5.72  ,-8.05  ,-5.40  ,-7.48
200108   ,0.54  ,-0.30  ,-1.17  ,-4.06   ,0.06  ,-0.45
200109 ,-18.02 ,-11.18 ,-10.17 ,-18.60 ,-14.10 ,-12.81
200110   ,7.47   ,3.27   ,3.43   ,5.26   ,6.39   ,4.51
200111  ,11.77   ,6.01   ,4.62  ,14.99  ,10.48   ,5.99
200112   ,4.80   ,6.36   ,4.21   ,7.00   ,9.91   ,8.00
200201   ,7.01   ,5.16   ,5.48   ,0.33   ,3.07   ,6.62
200202  ,-3.10   ,0.19   ,1.57  ,-0.70   ,2.12   ,3.75
200203  ,10.09   ,8.34   ,5.42   ,5.12   ,6.32   ,7.78
200204   ,0.78   ,3.64   ,2.64   ,0.46   ,1.48  ,-2.13
200205  ,-0.54   ,0.63  ,-0.15   ,0.00  ,-3.58   ,0.71
200206  ,-8.91  ,-5.50  ,-4.80  ,-8.12  ,-7.70  ,-6.13
200207  ,-5.02  ,-3.89  ,-3.03  ,-6.56  ,-6.89  ,-6.79
200208  ,-1.32   ,2.21  ,-0.95   ,1.37   ,1.18   ,2.09
200209 ,-13.47 ,-10.58  ,-9.38 ,-13.13 ,-10.06  ,-8.82
200210   ,4.19   ,4.94   ,7.08   ,6.45   ,6.46   ,5.73
200211   ,5.80   ,6.55   ,5.77   ,6.79   ,5.62   ,6.59
200212  ,-3.76  ,-0.09  ,-0.40  ,-4.81  ,-1.94  ,-2.07
200301   ,1.28   ,2.42   ,4.44   ,0.17  ,-1.12   ,0.59
200302  ,-2.58  ,-1.25  ,-0.98  ,-3.52  ,-3.06  ,-1.71
200303  ,-6.49  ,-3.10  ,-3.48  ,-3.57  ,-3.69  ,-1.54
200304   ,8.81   ,6.90   ,7.07   ,9.28   ,9.79   ,7.17
200305   ,9.07   ,7.78   ,4.84   ,8.73   ,6.43   ,7.46
200306   ,6.75   ,5.40   ,6.72   ,5.71   ,5.89   ,6.52
200307   ,3.65   ,4.37   ,5.37   ,6.13   ,4.64   ,5.83
200308   ,2.75   ,5.11   ,6.84   ,7.14   ,6.86   ,6.84
200309   ,1.65   ,2.08   ,2.88   ,2.19   ,0.38   ,3.05
200310   ,2.72   ,5.91   ,8.85   ,6.62   ,8.17   ,8.98
200311   ,2.47   ,2.43   ,3.87   ,1.11   ,0.98   ,1.52
200312   ,6.94   ,7.09   ,5.75   ,7.06   ,6.69   ,9.92
200401   ,3.40   ,4.42   ,3.60   ,3.08   ,4.46   ,2.71
200402   ,3.23   ,3.84   ,5.05   ,4.22   ,5.58   ,4.50
200403   ,1.17   ,0.66   ,2.29   ,0.05   ,1.29   ,2.94
200404  ,-2.72  ,-2.41  ,-4.38  ,-6.35  ,-7.07  ,-8.92
200405  ,-4.74  ,-4.58  ,-4.77  ,-1.26  ,-2.62  ,-2.36
200406  ,-1.58  ,-0.96   ,0.96   ,0.06   ,1.94  ,-1.28
200407  ,-2.93  ,-0.49  ,-1.45  ,-3.66  ,-1.09  ,-0.81
200408   ,3.60   ,3.51   ,4.78   ,5.10   ,4.30   ,3.07
200409   ,4.84   ,6.85   ,7.36   ,3.64   ,6.31   ,7.50
200410   ,1.71   ,3.48   ,3.95   ,2.39   ,2.39   ,3.49
200411   ,7.56  ,11.41  ,10.77   ,6.84   ,8.72  ,10.60
200412   ,4.85   ,7.63   ,9.25   ,4.77   ,6.23   ,5.35
200501   ,3.67   ,3.63   ,3.90  ,-1.42   ,1.14   ,0.30
200502   ,7.94   ,8.75   ,9.95   ,8.24   ,8.46   ,8.60
200503  ,-3.91  ,-4.69  ,-5.09  ,-5.59  ,-6.71  ,-5.11
200504  ,-3.86  ,-1.88  ,-0.26  ,-4.16  ,-1.91  ,-1.86
200505   ,1.37   ,1.89   ,4.40   ,5.05   ,3.31   ,2.18
200506   ,4.11   ,4.39   ,5.25   ,2.42   ,3.72   ,4.83
200507   ,4.46   ,7.42   ,8.69   ,6.37   ,6.66   ,7.43
200508  ,-3.15  ,-0.24   ,2.16  ,-0.79   ,1.76   ,1.87
200509   ,4.19   ,6.72   ,5.95   ,9.54   ,8.33   ,9.75
200510  ,-3.85  ,-1.95  ,-4.53  ,-6.93  ,-5.77  ,-5.84
200511   ,7.18   ,7.75   ,9.95   ,7.88   ,7.76   ,8.45
200512   ,5.44   ,5.96   ,5.54   ,7.73   ,6.64   ,5.10
200601   ,9.47   ,7.69   ,7.90  ,10.29  ,10.00  ,11.38
200602   ,1.70   ,3.06   ,1.13   ,0.98   ,0.48  ,-1.30
200603   ,0.73   ,2.52   ,2.43   ,0.85   ,0.61   ,1.99
200604   ,6.80   ,8.25   ,8.42   ,6.96   ,8.10   ,8.66
200605  ,-8.49  ,-6.19 ,-10.05  ,-9.22 ,-10.49  ,-9.57
200606  ,-5.10  ,-5.13  ,-6.55  ,-2.48  ,-0.29  ,-1.06
200607  ,-0.52   ,0.96   ,0.92   ,1.02   ,1.61   ,1.43
200608   ,3.57   ,3.40   ,2.67   ,3.95   ,1.40   ,5.28
200609   ,2.72   ,2.33   ,3.52   ,2.27   ,1.03  ,-0.38
200610   ,3.93   ,6.00   ,7.51   ,5.43   ,4.23   ,4.44
200611   ,7.71   ,8.72   ,9.41   ,6.80   ,7.31   ,8.49
200612   ,3.02   ,4.99   ,5.59   ,3.81   ,5.07   ,3.07
200701   ,0.17   ,2.26   ,3.26  ,-0.15  ,-1.94  ,-0.01
200702   ,2.01   ,3.44   ,4.89  ,-0.71  ,-0.12   ,1.28
200703   ,4.08   ,5.47   ,6.92   ,3.28   ,3.80   ,5.43
200704   ,5.98   ,6.75   ,7.81   ,3.34   ,4.73   ,7.51
200705   ,7.27   ,8.70   ,9.95   ,3.09   ,5.87   ,6.28
200706   ,3.93   ,5.52   ,5.53   ,5.94   ,3.94   ,4.20
200707   ,4.72   ,7.83   ,7.74   ,4.03   ,5.67   ,7.20
200708  ,-6.49  ,-5.92  ,-6.84  ,-4.47  ,-1.29  ,-3.04
200709   ,5.84   ,5.88   ,6.73   ,8.05  ,11.22   ,9.43
200710   ,1.98   ,3.06   ,3.46   ,7.69  ,11.74  ,11.91
200711  ,-6.60  ,-6.47  ,-8.11  ,-4.65  ,-7.78  ,-7.61
200712   ,3.07   ,2.48   ,0.82   ,1.74   ,0.81   ,0.68
200801 ,-12.81 ,-12.30 ,-11.94  ,-9.75 ,-13.43 ,-12.29
200802   ,6.45   ,6.75   ,6.42   ,3.01   ,7.19  ,10.02
200803  ,-6.29  ,-3.87  ,-6.89  ,-2.17  ,-5.01  ,-5.72
200804   ,4.43   ,4.96   ,5.53   ,7.00   ,6.76   ,9.03
200805   ,1.06  ,-0.05   ,1.63   ,0.70   ,1.50   ,3.25
200806 ,-10.56  ,-8.36  ,-8.52 ,-11.85 ,-10.00  ,-8.71
200807  ,-3.83  ,-1.77  ,-3.03  ,-0.76  ,-2.18  ,-7.26
200808  ,-9.50  ,-6.28  ,-8.10  ,-6.63  ,-7.18  ,-9.01
200809 ,-22.43 ,-19.83 ,-17.51 ,-19.42 ,-16.18 ,-18.77
200810 ,-30.43 ,-29.23 ,-26.24 ,-30.62 ,-26.12 ,-26.88
200811  ,-9.65  ,-8.90  ,-8.38  ,-8.21  ,-7.42  ,-8.01
200812  ,13.62   ,9.13   ,4.90  ,12.21   ,7.65   ,5.04
200901  ,-5.06  ,-3.98  ,-5.31  ,-2.77  ,-7.47  ,-7.61
200902  ,-5.15  ,-3.70  ,-4.19  ,-6.38  ,-6.79  ,-1.99
200903  ,14.88  ,12.11  ,11.00  ,15.98  ,14.22  ,12.06
200904  ,28.97  ,19.45  ,14.72  ,24.42  ,17.10  ,10.00
200905  ,29.72  ,18.29  ,13.06  ,25.39  ,17.95  ,12.22
200906   ,0.33  ,-0.32  ,-0.84  ,-2.95  ,-1.13  ,-1.54
200907  ,11.76  ,11.19  ,13.04  ,12.37  ,10.78  ,10.58
200908   ,4.53   ,2.54   ,0.89  ,-0.22  ,-0.10  ,-0.41
200909   ,9.93   ,8.11   ,8.58   ,9.19   ,9.51   ,9.79
200910   ,0.89   ,0.97   ,1.07   ,0.48  ,-0.93  ,-0.93
200911   ,3.92   ,4.56   ,4.80   ,2.86   ,4.70   ,6.14
200912   ,5.41   ,7.46   ,7.65   ,4.02   ,4.07   ,6.47
201001  ,-0.97  ,-1.25  ,-3.51  ,-3.11  ,-5.99  ,-6.15
201002   ,0.07   ,2.23   ,3.73   ,0.45   ,0.54   ,1.15
201003   ,6.85   ,9.34   ,7.24   ,6.48   ,8.91   ,9.45
201004   ,2.99   ,3.76   ,3.57   ,0.25   ,0.94   ,4.14
201005 ,-11.10 ,-10.65 ,-11.03  ,-7.48  ,-9.29  ,-9.45
201006   ,0.06   ,1.15   ,0.99  ,-0.46   ,0.30  ,-0.96
201007   ,6.28   ,7.12   ,8.10   ,8.16   ,7.97   ,9.31
201008  ,-1.25  ,-0.13  ,-0.27  ,-3.09  ,-1.41   ,0.51
201009  ,10.70  ,10.21  ,11.22  ,10.14  ,11.06  ,14.41
201010   ,4.31   ,4.31   ,5.64   ,1.60   ,3.40   ,3.51
201011  ,-3.99  ,-2.38  ,-2.29  ,-3.61  ,-1.74  ,-1.41
201012   ,6.56   ,6.37   ,6.81   ,8.87   ,6.51   ,6.35
201101  ,-2.67  ,-1.12  ,-3.00  ,-3.62  ,-2.20  ,-1.74
201102  ,-4.26  ,-2.61  ,-2.31  ,-0.53  ,-1.93  ,-1.47
201103   ,2.73   ,3.23   ,5.53   ,4.39   ,5.26   ,8.27
201104   ,3.34   ,4.69   ,5.34   ,0.84   ,3.11   ,7.37
201105  ,-4.58  ,-1.98  ,-2.48  ,-3.69  ,-1.67  ,-2.94
201106  ,-2.88  ,-1.87  ,-1.41  ,-2.16  ,-0.80  ,-1.65
201107   ,1.55   ,1.99   ,2.64  ,-1.86   ,0.37   ,1.43
201108 ,-11.55  ,-9.19  ,-8.66 ,-10.06  ,-8.62  ,-8.91
201109 ,-17.13 ,-14.59 ,-16.27 ,-15.13 ,-13.91 ,-15.78
201110  ,11.53   ,9.29  ,10.38  ,14.74  ,12.88  ,10.10
201111  ,-9.83  ,-5.54  ,-4.54  ,-7.18  ,-6.84  ,-5.02
201112  ,-2.10  ,-0.34  ,-0.04  ,-2.14  ,-0.61  ,-1.68
201201  ,14.02   ,9.10   ,7.59  ,16.05  ,11.24   ,7.18
201202  ,10.91   ,8.40   ,7.64   ,6.53   ,6.27   ,5.25
201203  ,-5.30  ,-1.90  ,-0.82  ,-5.64  ,-3.57   ,0.37
201204  ,-4.12  ,-1.67  ,-2.16  ,-5.12  ,-1.26   ,1.47
201205 ,-12.78  ,-8.25  ,-8.12 ,-11.65 ,-10.44  ,-9.86
201206   ,2.30   ,3.67   ,3.88   ,2.37   ,4.80   ,3.51
201207  ,-3.18   ,0.00   ,1.12   ,0.75   ,1.14   ,2.73
201208   ,2.38   ,3.08   ,4.70   ,0.33   ,0.06   ,0.52
201209   ,5.85   ,5.25   ,5.56   ,7.05   ,5.22   ,5.99
201210  ,-1.82  ,-0.34   ,1.57  ,-2.79  ,-0.28   ,0.24
201211  ,-1.28   ,1.37   ,1.28  ,-1.16   ,1.06   ,3.50
201212   ,5.44   ,5.21   ,3.94   ,6.19   ,4.83   ,4.81
201301   ,2.27   ,2.32   ,4.91   ,1.80   ,1.99   ,0.99
201302  ,-1.32   ,0.92   ,3.02  ,-3.92  ,-0.60   ,1.22
201303  ,-2.18   ,1.07   ,1.19  ,-2.44  ,-1.09  ,-0.61
201304  ,-0.54   ,1.72   ,2.93  ,-0.24   ,0.67   ,3.93
201305  ,-0.30   ,0.44   ,0.05  ,-3.85  ,-1.35  ,-1.39
201306  ,-7.77  ,-5.95  ,-7.81  ,-6.57  ,-6.34  ,-6.83
201307   ,0.27   ,1.80   ,2.81   ,3.27   ,0.72   ,1.21
201308  ,-3.66  ,-2.60  ,-3.22  ,-0.44  ,-2.53  ,-4.92
201309   ,6.89   ,6.32   ,6.81   ,6.90   ,6.77   ,6.78
201310   ,1.68   ,3.49   ,3.93   ,3.66   ,4.74   ,4.63
201311  ,-2.94  ,-1.65  ,-0.44  ,-1.12  ,-1.37  ,-0.96
201312   ,0.79   ,0.81   ,0.54  ,-1.58  ,-1.68   ,2.38
201401  ,-3.76  ,-1.82  ,-0.82  ,-7.45  ,-6.64  ,-3.76
201402   ,3.29   ,4.84   ,6.08   ,3.03   ,2.93   ,6.84
201403   ,3.57   ,2.68   ,1.56   ,3.85   ,4.03  ,-1.30
201404   ,2.02   ,1.54  ,-0.37   ,1.53   ,0.65  ,-1.53
201405   ,2.63   ,3.88   ,5.60   ,4.36   ,3.29   ,4.39
201406   ,1.46   ,2.45   ,3.26   ,0.77   ,2.97   ,5.28
201407  ,-0.05  ,-0.11  ,-0.16   ,2.27   ,2.27   ,0.99
201408   ,1.96   ,2.33   ,2.57   ,1.55   ,2.46   ,2.27
201409  ,-5.28  ,-3.68  ,-2.04  ,-6.00  ,-6.57  ,-7.17
201410  ,-2.94  ,-1.72  ,-0.55  ,-0.30   ,1.22   ,1.15
201411  ,-2.89  ,-2.89  ,-2.29  ,-1.90  ,-0.48  ,-0.65
201412  ,-4.19  ,-2.87  ,-3.58  ,-4.50  ,-2.79  ,-5.44
201501  ,-2.02   ,0.31   ,3.16  ,-0.80   ,0.96   ,1.93
201502   ,2.54   ,2.15   ,1.58   ,4.09   ,2.00   ,2.61
201503  ,-2.05   ,0.62   ,0.55  ,-3.28  ,-0.48  ,-0.24
201504  ,10.19   ,9.78   ,8.16   ,9.67   ,5.90   ,7.03
201505  ,-1.08   ,0.71   ,2.39  ,-4.84  ,-3.27  ,-1.79
201506  ,-4.61  ,-2.90  ,-3.26  ,-3.36  ,-2.01  ,-1.44
201507  ,-7.74  ,-5.20  ,-7.17  ,-9.26  ,-5.28  ,-6.38
201508 ,-11.27  ,-8.66 ,-10.67  ,-8.90  ,-9.36  ,-7.06
201509  ,-0.22   ,1.38   ,1.27  ,-2.41  ,-2.41  ,-2.10
201510   ,7.98   ,5.45   ,5.76  ,11.06   ,6.05   ,6.29
201511  ,-3.52  ,-1.51  ,-0.25  ,-3.75  ,-2.94  ,-1.46
201512   ,0.07   ,0.06  ,-0.05  ,-3.68  ,-0.51  ,-2.02
201601  ,-9.41  ,-7.04  ,-9.11  ,-8.13  ,-6.27  ,-5.00
201602   ,1.54  ,-0.09  ,-2.14   ,0.73  ,-1.00  ,-2.14
201603  ,13.02   ,9.81   ,9.71  ,16.40  ,11.39   ,9.44
201604   ,4.17   ,2.58   ,2.35   ,1.50   ,0.94   ,0.34
201605  ,-5.99  ,-3.32  ,-2.56  ,-6.98  ,-3.82   ,0.45
201606   ,3.82   ,3.58   ,2.73   ,3.33   ,4.45   ,2.89
201607   ,5.46   ,4.19   ,4.37   ,6.40   ,4.43   ,3.93
201608   ,0.71   ,1.33   ,1.67   ,1.52   ,2.65   ,3.59
201609   ,1.24   ,1.79   ,3.01   ,1.08   ,0.68   ,2.05
201610  ,-0.32  ,-0.14  ,-0.85  ,-0.03   ,0.20  ,-0.65
201611  ,-5.08  ,-3.83  ,-4.13  ,-2.99  ,-4.80  ,-5.17
201612   ,0.73   ,1.10   ,1.14   ,0.75   ,0.70  ,-0.55
201701   ,4.31   ,4.90   ,5.86   ,3.95   ,4.07   ,8.21
201702   ,3.48   ,3.68   ,3.39   ,3.74   ,3.58   ,3.23
201703   ,1.82   ,3.58   ,3.57   ,2.21   ,2.53   ,3.58
201704   ,0.43   ,1.38   ,0.93   ,0.75   ,2.17   ,2.32
201705  ,-0.92   ,0.56   ,0.63   ,1.74   ,2.08   ,3.88
201706  ,-0.64   ,0.42   ,1.02  ,-1.41   ,0.34   ,3.47
201707   ,1.35   ,3.18   ,5.02   ,2.97   ,5.18   ,7.85
201708   ,0.37   ,1.78   ,2.04   ,1.29   ,2.02   ,2.71
201709   ,0.00  ,-0.09   ,1.25  ,-0.54  ,-0.98   ,0.50
201710   ,2.48   ,2.10   ,3.84   ,1.97   ,2.86   ,4.50
201711   ,0.58   ,1.14   ,1.48  ,-0.62  ,-0.67   ,2.16
201712   ,3.45   ,3.71   ,4.32   ,3.12   ,4.86   ,2.78
201801   ,5.21   ,6.36   ,7.01   ,6.91   ,8.53   ,7.80
201802  ,-3.48  ,-2.77  ,-2.52  ,-5.21  ,-4.34  ,-4.12
201803  ,-1.81   ,0.44  ,-0.21  ,-1.84  ,-1.41  ,-1.68
201804  ,-0.71  ,-0.24   ,0.00  ,-0.52   ,0.93  ,-2.11
201805  ,-2.73  ,-1.81  ,-1.07  ,-4.53  ,-4.53  ,-0.21
201806  ,-6.17  ,-7.00  ,-6.69  ,-3.41  ,-4.24  ,-4.59
201807   ,0.23  ,-0.03   ,0.34   ,2.65   ,3.15   ,0.51
201808  ,-3.84  ,-2.28  ,-3.13  ,-3.37  ,-2.14  ,-2.45
201809  ,-3.27  ,-1.78  ,-3.32  ,-1.80  ,-1.09  ,-0.28
201810  ,-7.95  ,-8.89 ,-11.12  ,-8.53  ,-8.50  ,-8.90
201811   ,4.17   ,4.08   ,4.38   ,4.27   ,5.93   ,2.60
201812  ,-1.85  ,-0.69  ,-1.11  ,-1.18  ,-3.04  ,-1.61
201901   ,6.05   ,5.43   ,5.38   ,9.71   ,8.07   ,5.80
201902   ,1.09   ,1.39  ,-0.13   ,0.57   ,0.26   ,0.13
201903   ,0.95   ,1.25   ,2.46   ,0.54   ,0.26   ,2.42
201904   ,0.62   ,0.20   ,0.34   ,3.53   ,1.56   ,1.13
201905  ,-5.90  ,-4.19  ,-2.69  ,-8.33  ,-6.73  ,-4.24
201906   ,2.06   ,4.14   ,4.27   ,4.88   ,6.52   ,5.17
201907  ,-3.60  ,-1.32  ,-1.76  ,-1.22  ,-1.65  ,-1.68
201908  ,-5.66  ,-4.65  ,-1.82  ,-6.27  ,-4.57  ,-3.15
201909   ,2.17   ,2.13   ,1.76   ,2.61   ,2.43   ,1.30
201910   ,1.41   ,2.17   ,3.90   ,4.47   ,3.76   ,4.35
201911  ,-1.61  ,-0.85  ,-1.94  ,-1.10   ,0.60  ,-0.32
201912   ,6.17   ,5.49   ,6.60   ,7.14   ,6.78   ,7.28
202001  ,-4.23  ,-2.71  ,-1.66  ,-7.41  ,-4.49  ,-3.18
202002  ,-7.65  ,-4.84  ,-4.44  ,-9.21  ,-4.55  ,-4.49



  Average Equal Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199001   ,1.95   ,9.42   ,8.63  ,-0.19   ,4.64   ,6.32
199002   ,3.94  ,12.93   ,9.64   ,3.77   ,3.95   ,4.61
199003  ,-2.78  ,-4.04  ,-5.64  ,-2.08  ,-3.92  ,-3.80
199004   ,0.48   ,1.68 ,-11.23   ,0.83  ,-1.03  ,-0.47
199005   ,3.14   ,4.62  ,11.13   ,6.46   ,8.86  ,11.08
199006  ,-0.08  ,-1.61  ,-2.25  ,-0.97   ,4.86   ,0.01
199007   ,5.06   ,9.78  ,10.08   ,5.57   ,9.11   ,8.63
199008 ,-11.04 ,-11.88 ,-18.83 ,-13.04 ,-13.17 ,-16.67
199009  ,-6.26  ,-4.87  ,-8.15 ,-10.62 ,-12.38 ,-14.17
199010   ,1.50  ,-0.30  ,-0.15  ,-1.34   ,0.39  ,-0.35
199011  ,-4.01  ,-5.26  ,-3.34  ,-2.04  ,-3.71  ,-4.47
199012   ,3.32   ,2.90   ,2.96   ,1.81   ,3.68   ,0.89
199101   ,1.94   ,3.34   ,2.30   ,3.52   ,3.99   ,6.06
199102  ,21.03  ,11.98  ,11.87  ,21.45  ,14.60  ,10.58
199103   ,3.99   ,2.55  ,-0.18   ,2.33   ,2.09   ,5.59
199104  ,-1.72  ,-2.07   ,1.34  ,-2.35   ,2.48   ,1.81
199105  ,-0.93   ,3.55  ,-0.26  ,-0.24   ,2.25   ,1.64
199106  ,-2.82   ,0.06  ,-0.12  ,-5.57  ,-4.74  ,-4.57
199107  ,-4.54  ,-2.19  ,-3.51  ,-0.95  ,-0.05  ,-1.28
199108  ,-1.35  ,-3.34  ,-1.93   ,1.18  ,-0.55  ,-1.01
199109  ,-0.09  ,-0.26  ,-0.23  ,-1.22  ,-0.46  ,-1.23
199110  ,-0.98   ,0.72  ,-0.79   ,0.19  ,-0.18   ,1.45
199111   ,3.78   ,4.25   ,0.13   ,0.88   ,0.59  ,-1.14
199112   ,3.09   ,4.84   ,1.78   ,4.52   ,5.69   ,6.32
199201  ,17.00  ,12.16  ,15.25   ,9.13   ,7.07  ,11.14
199202   ,1.63  ,-2.44   ,0.29  ,-3.08  ,-3.90  ,-0.91
199203  ,-5.96   ,2.26  ,10.53  ,-4.58  ,-0.43   ,5.82
199204  ,14.75   ,2.27  ,-2.70   ,7.15   ,0.02  ,-2.82
199205   ,1.85  ,-0.14   ,1.49  ,-6.34  ,-2.72   ,0.16
199206  ,-6.54  ,-4.23  ,-7.55  ,-1.06  ,-1.46  ,-4.04
199207   ,0.65  ,-1.50  ,-4.46  ,-3.34  ,-3.72  ,-3.84
199208  ,-1.11   ,3.87   ,8.59   ,1.28   ,2.50   ,4.32
199209  ,-0.60  ,-2.28  ,-6.28  ,-2.98  ,-2.46  ,-3.40
199210   ,8.25   ,7.04   ,5.55  ,12.13   ,5.83   ,4.35
